,country,country_x,country_y,index,jurisdiction_x,jurisdiction_y,level_0,location_x,location_y,mealsAndIncidentals_x,mealsAndIncidentals_y,season_x,season_y,slug,slug_x,slug_y,total_x,total_y,diff
281,,PHILIPPINES,PHILIPPINES,117,US,UK,281,Manila,Manila,110.0,,S1,,philippines-manila,,,289.0,222.29941907235784,0.3000483816196178
282,,POLAND,Poland,118,US,Canada,282,Warsaw,Warsaw,90.0,,S1,,poland-warsaw,,,278.0,113.93171107044344,-0.21005311730679246
283,,POLAND,POLAND,118,US,UK,283,Warsaw,Warsaw,90.0,,S1,,poland-warsaw,,,278.0,240.65807361587048,0.15516589916585688
284,,POLAND,Poland,118,US,UN,284,Warsaw,Warsaw,90.0,,S1,,poland-warsaw,,,278.0,287.0,-0.0313588850174216
285,,PORTUGAL,Portugal,119,US,Canada,285,Lisbon,Lisbon,81.0,,S1,,portugal-lisbon,,,242.0,168.15127361999996,-0.518290892146024
286,,PORTUGAL,PORTUGAL,119,US,UK,286,Lisbon,Lisbon,81.0,,S1,,portugal-lisbon,,,242.0,211.151523,0.14609639827224927
287,,PORTUGAL,Portugal,119,US,UN,287,Lisbon,Lisbon,81.0,,S1,,portugal-lisbon,,,242.0,396.0,-0.3888888888888889
288,,QATAR,Qatar,120,US,Canada,288,Doha,Doha,162.0,,S1,,qatar-doha,,,389.0,210.70362696043037,-0.2311475491097113
289,,QATAR,QATAR,120,US,UK,289,Doha,Doha,162.0,,S1,,qatar-doha,,,389.0,365.1295053335575,0.06537541972850433
290,,QATAR,Qatar,120,US,UN,290,Doha,Doha,162.0,,S1,,qatar-doha,,,389.0,340.0,0.14411764705882352
291,,REPUBLIC OF THE CONGO,Congo,121,US,Canada,291,Brazzaville,Brazzaville,124.0,,S1,,congo-brazzaville,,,423.0,103.86418814696206,0.19386674283292793
292,,REPUBLIC OF THE CONGO,Congo,121,US,UN,292,Brazzaville,Brazzaville,124.0,,S1,,congo-brazzaville,,,423.0,284.0,0.4894366197183099
293,,ROMANIA,Romania,122,US,Canada,293,Bucharest,Bucharest,103.0,,S1,,romania-bucharest,,,284.0,120.34470228,-0.14412518333914653
294,,ROMANIA,ROMANIA,122,US,UK,294,Bucharest,Bucharest,103.0,,S1,,romania-bucharest,,,284.0,232.35784118529043,0.22225270535857783
295,,ROMANIA,Romania,122,US,UN,295,Bucharest,Bucharest,103.0,,S1,,romania-bucharest,,,284.0,240.0,0.18333333333333332
296,,RUSSIA,Russia,123,US,Canada,296,Moscow,Moscow,112.0,,S1,,russia-moscow,,,463.0,152.80721714159057,-0.2670503259265481
297,,RUSSIA,RUSSIA,123,US,UK,297,Moscow,Moscow,112.0,,S1,,russia-moscow,,,463.0,285.9829515254073,0.6189776262200235
298,,RWANDA,Rwanda,124,US,Canada,298,Kigali,Kigali,88.0,,S1,,rwanda-kigali,,,291.0,82.20040163296268,0.07055437992789147
